PE, avg_PE, time
1.13551e+10 ,2.27103e+10 ,0.000216
1.13551e+10 ,2.27103e+10 ,0.00043
1.13551e+10 ,2.27103e+10 ,0.000638
1.13551e+10 ,2.27103e+10 ,0.000845
1.1296e+10 ,1.70032e+10 ,0.00106
1.1296e+10 ,1.70032e+10 ,0.001268
1.1296e+10 ,1.51008e+10 ,0.001475
1.1296e+10 ,1.51008e+10 ,0.001682
1.1296e+10 ,1.51008e+10 ,0.001889
4.45486e+08 ,1.14369e+10 ,0.002094
4.45486e+08 ,1.14369e+10 ,0.002302
4.45475e+08 ,9.23865e+09 ,0.00251
4.45475e+08 ,9.23865e+09 ,0.002719
4.45475e+08 ,9.23865e+09 ,0.002927
4.45475e+08 ,9.23865e+09 ,0.003136
4.45475e+08 ,9.23865e+09 ,0.003343
4.45475e+08 ,7.77312e+09 ,0.003549
4.45475e+08 ,7.77312e+09 ,0.003756
4.45471e+08 ,6.72631e+09 ,0.003965
4.45471e+08 ,6.72631e+09 ,0.004232
4.45471e+08 ,5.94121e+09 ,0.004452
4.45117e+08 ,5.33053e+09 ,0.004661
4.45117e+08 ,5.33053e+09 ,0.004869
4.45117e+08 ,5.33053e+09 ,0.005077
4.45116e+08 ,4.84199e+09 ,0.005285
4.45116e+08 ,4.84199e+09 ,0.005491
4.45116e+08 ,4.84199e+09 ,0.005702
4.45116e+08 ,4.84199e+09 ,0.00591
4.45116e+08 ,4.44227e+09 ,0.006117
4.45116e+08 ,4.44227e+09 ,0.006324
4.45116e+08 ,4.10918e+09 ,0.006531
4.45116e+08 ,3.82733e+09 ,0.006738
4.44928e+08 ,3.58573e+09 ,0.006948
4.44928e+08 ,3.58573e+09 ,0.007156
4.37303e+08 ,3.37583e+09 ,0.007363
4.37303e+08 ,3.19217e+09 ,0.00757
4.37303e+08 ,3.03012e+09 ,0.007777
4.37303e+08 ,2.88608e+09 ,0.007984
4.37303e+08 ,2.88608e+09 ,0.008192
4.37047e+08 ,2.75718e+09 ,0.008399
4.37047e+08 ,2.75718e+09 ,0.008607
4.37047e+08 ,2.75718e+09 ,0.008813
4.37047e+08 ,2.75718e+09 ,0.009021
4.37047e+08 ,2.75718e+09 ,0.009229
4.37047e+08 ,2.75718e+09 ,0.009436
4.37047e+08 ,2.75718e+09 ,0.009643
4.37047e+08 ,2.75718e+09 ,0.00985
4.37047e+08 ,2.64117e+09 ,0.010058
4.37047e+08 ,2.64117e+09 ,0.010267
4.37047e+08 ,2.64117e+09 ,0.010477
4.37047e+08 ,2.53622e+09 ,0.010685
4.37047e+08 ,2.4408e+09 ,0.010896
4.37047e+08 ,2.4408e+09 ,0.011104
4.37047e+08 ,2.35368e+09 ,0.01131
4.36811e+08 ,2.27381e+09 ,0.011522
4.36811e+08 ,2.20033e+09 ,0.011737
4.36811e+08 ,2.20033e+09 ,0.012093
4.36811e+08 ,2.20033e+09 ,0.012328
4.36757e+08 ,2.1325e+09 ,0.012541
4.36752e+08 ,2.06969e+09 ,0.012754
4.36751e+08 ,2.01138e+09 ,0.012962
4.36751e+08 ,2.01138e+09 ,0.013169
4.36746e+08 ,1.95708e+09 ,0.013375
4.36283e+08 ,1.90638e+09 ,0.013582
4.36283e+08 ,1.85896e+09 ,0.013788
4.36283e+08 ,1.8145e+09 ,0.013996
4.36283e+08 ,1.8145e+09 ,0.014293
4.36281e+08 ,1.77274e+09 ,0.014586
4.36281e+08 ,1.77274e+09 ,0.014808
4.36275e+08 ,1.73343e+09 ,0.015019
4.36275e+08 ,1.73343e+09 ,0.015229
4.36275e+08 ,1.73343e+09 ,0.015441
3.90588e+08 ,1.69506e+09 ,0.015655
3.90588e+08 ,1.69506e+09 ,0.015866
3.90588e+08 ,1.69506e+09 ,0.016075
3.90588e+08 ,1.69506e+09 ,0.016288
3.90588e+08 ,1.69506e+09 ,0.016496
3.90588e+08 ,1.65883e+09 ,0.016709
3.90588e+08 ,1.62455e+09 ,0.016919
3.90588e+08 ,1.62455e+09 ,0.01713
3.90588e+08 ,1.62455e+09 ,0.017339
3.90588e+08 ,1.62455e+09 ,0.017551
3.90588e+08 ,1.59208e+09 ,0.017763
3.90588e+08 ,1.59208e+09 ,0.017971
3.90588e+08 ,1.56127e+09 ,0.018178
3.90588e+08 ,1.56127e+09 ,0.018384
3.90588e+08 ,1.56127e+09 ,0.01859
3.90588e+08 ,1.56127e+09 ,0.018799
3.90588e+08 ,1.532e+09 ,0.019006
3.90588e+08 ,1.532e+09 ,0.019213
3.90588e+08 ,1.532e+09 ,0.019423
3.90588e+08 ,1.532e+09 ,0.019629
3.90588e+08 ,1.532e+09 ,0.019836
3.90588e+08 ,1.532e+09 ,0.020047
3.90588e+08 ,1.532e+09 ,0.020256
3.90588e+08 ,1.50417e+09 ,0.020462
3.90588e+08 ,1.50417e+09 ,0.020669
3.90582e+08 ,1.47765e+09 ,0.020877
3.90582e+08 ,1.47765e+09 ,0.021083
3.90582e+08 ,1.45237e+09 ,0.02129
3.90582e+08 ,1.45237e+09 ,0.021496
3.90582e+08 ,1.45237e+09 ,0.021703
3.90582e+08 ,1.45237e+09 ,0.021909
3.90582e+08 ,1.42824e+09 ,0.022117
3.90568e+08 ,1.40518e+09 ,0.022323
2.6305e+08 ,1.38035e+09 ,0.02253
2.6305e+08 ,1.38035e+09 ,0.022736
2.6305e+08 ,1.38035e+09 ,0.022942
2.63049e+08 ,1.35658e+09 ,0.023149
2.63049e+08 ,1.35658e+09 ,0.023355
2.63049e+08 ,1.35658e+09 ,0.023562
2.63049e+08 ,1.35658e+09 ,0.023769
2.63049e+08 ,1.35658e+09 ,0.023976
2.63049e+08 ,1.3338e+09 ,0.024182
2.63048e+08 ,1.31194e+09 ,0.024455
2.63048e+08 ,1.31194e+09 ,0.024684
2.63048e+08 ,1.31194e+09 ,0.024985
2.63047e+08 ,1.29097e+09 ,0.025214
2.63047e+08 ,1.27081e+09 ,0.025448
2.63047e+08 ,1.27081e+09 ,0.02566
2.63047e+08 ,1.25143e+09 ,0.025871
2.63047e+08 ,1.25143e+09 ,0.026082
2.63047e+08 ,1.23278e+09 ,0.026291
2.61257e+08 ,1.21479e+09 ,0.026499
2.55324e+08 ,1.19735e+09 ,0.026706
2.55324e+08 ,1.18052e+09 ,0.026915
2.55324e+08 ,1.16429e+09 ,0.027123
2.55324e+08 ,1.14862e+09 ,0.027373
2.55324e+08 ,1.13348e+09 ,0.027608
2.55324e+08 ,1.11884e+09 ,0.027822
2.55323e+08 ,1.10469e+09 ,0.028035
2.55323e+08 ,1.10469e+09 ,0.028247
2.55323e+08 ,1.10469e+09 ,0.028636
2.55323e+08 ,1.09099e+09 ,0.029015
2.55323e+08 ,1.09099e+09 ,0.02926
2.55323e+08 ,1.09099e+09 ,0.029484
2.51634e+08 ,1.07767e+09 ,0.029738
2.51634e+08 ,1.06476e+09 ,0.029954
2.51634e+08 ,1.05225e+09 ,0.030162
2.51633e+08 ,1.04012e+09 ,0.030369
2.51618e+08 ,1.02835e+09 ,0.030577
2.51618e+08 ,1.02835e+09 ,0.030784
2.51618e+08 ,1.02835e+09 ,0.030991
2.51618e+08 ,1.01693e+09 ,0.031199
2.51618e+08 ,1.01693e+09 ,0.031406
2.50166e+08 ,1.00582e+09 ,0.031612
2.50166e+08 ,1.00582e+09 ,0.031818
2.50166e+08 ,1.00582e+09 ,0.032025
2.50166e+08 ,1.00582e+09 ,0.032233
2.50166e+08 ,1.00582e+09 ,0.032441
2.50166e+08 ,1.00582e+09 ,0.03265
2.50166e+08 ,9.9502e+08 ,0.032857
2.50166e+08 ,9.9502e+08 ,0.033064
2.50166e+08 ,9.9502e+08 ,0.033271
2.50166e+08 ,9.9502e+08 ,0.033478
2.50166e+08 ,9.9502e+08 ,0.033686
2.50166e+08 ,9.84529e+08 ,0.033893
2.50166e+08 ,9.84529e+08 ,0.034099
2.50166e+08 ,9.7433e+08 ,0.034306
2.50166e+08 ,9.7433e+08 ,0.034513
2.50166e+08 ,9.7433e+08 ,0.034721
2.50166e+08 ,9.7433e+08 ,0.034928
2.50166e+08 ,9.7433e+08 ,0.035134
2.50166e+08 ,9.6441e+08 ,0.035344
2.50166e+08 ,9.54758e+08 ,0.035555
2.50166e+08 ,9.54758e+08 ,0.035764
2.50166e+08 ,9.54758e+08 ,0.035971
2.50166e+08 ,9.45363e+08 ,0.036179
2.50166e+08 ,9.45363e+08 ,0.036386
2.50166e+08 ,9.45363e+08 ,0.036593
2.49819e+08 ,9.36211e+08 ,0.036853
2.49326e+08 ,9.27291e+08 ,0.037081
2.49326e+08 ,9.27291e+08 ,0.037297
2.49326e+08 ,9.27291e+08 ,0.037506
2.49326e+08 ,9.27291e+08 ,0.037711
2.49323e+08 ,9.18599e+08 ,0.037918
2.49323e+08 ,9.10127e+08 ,0.038127
2.49323e+08 ,9.01867e+08 ,0.038334
2.49323e+08 ,9.01867e+08 ,0.038546
2.49323e+08 ,8.93811e+08 ,0.038753
2.49323e+08 ,8.93811e+08 ,0.03896
2.49322e+08 ,8.85951e+08 ,0.039166
2.49322e+08 ,8.78281e+08 ,0.039373
2.49322e+08 ,8.78281e+08 ,0.039581
2.49322e+08 ,8.78281e+08 ,0.039787
2.49322e+08 ,8.70793e+08 ,0.039994
2.49322e+08 ,8.70793e+08 ,0.0402
2.49322e+08 ,8.70793e+08 ,0.040407
2.49322e+08 ,8.70793e+08 ,0.040614
2.49322e+08 ,8.70793e+08 ,0.04082
