PE, avg_PE, time
-47.8517 ,-45.8979 ,7.8e-05
-47.8517 ,-45.8979 ,0.000141
-47.8517 ,-45.8979 ,0.000199
-47.8517 ,-45.8979 ,0.000256
-48.5131 ,-22.9489 ,0.000312
-48.206 ,-15.2993 ,0.000369
-47.8547 ,-11.4745 ,0.000427
-48.2069 ,-9.17957 ,0.000484
-46.0397 ,-7.64964 ,0.00054
-47.1869 ,-6.55684 ,0.000597
-47.2909 ,-5.73723 ,0.000653
-46.2608 ,-5.09976 ,0.000709
-46.089 ,-4.58979 ,0.000766
-46.089 ,-4.58979 ,0.000823
-46.089 ,-4.58979 ,0.000879
-45.6775 ,-4.17253 ,0.000935
-45.5423 ,-3.82482 ,0.000992
-46.2923 ,-3.53061 ,0.001049
-46.2923 ,-3.53061 ,0.001106
-46.3091 ,-3.27842 ,0.001163
-46.2054 ,-3.05986 ,0.00122
-46.2054 ,-3.05986 ,0.001276
-46.9081 ,-2.86862 ,0.001332
-48.24 ,-2.69987 ,0.001389
-48.805 ,-2.54988 ,0.001445
-49.3892 ,-2.41568 ,0.001501
-49.3892 ,-2.41568 ,0.001557
-47.5984 ,-2.29489 ,0.001613
-48.7073 ,-2.18561 ,0.001669
-47.6065 ,-2.08627 ,0.001725
-47.6065 ,-2.08627 ,0.001781
-47.8445 ,-1.99556 ,0.001837
-47.8445 ,-1.99556 ,0.001893
-48.6044 ,-1.91241 ,0.001951
-48.6044 ,-1.91241 ,0.002007
-48.6044 ,-1.91241 ,0.002063
-49.7101 ,-1.83591 ,0.002119
-49.4827 ,-1.7653 ,0.002175
-48.7768 ,-1.69992 ,0.002234
-47.3311 ,-1.63921 ,0.002292
-45.6519 ,-1.58269 ,0.002348
-45.7115 ,-1.52993 ,0.002404
-44.8275 ,-1.48058 ,0.002465
-45.4735 ,-1.43431 ,0.002524
-45.7821 ,-1.39084 ,0.00258
-47.9268 ,-1.34994 ,0.002637
-48.1118 ,-1.31137 ,0.002693
-48.1622 ,-1.27494 ,0.002757
-48.8073 ,-1.24048 ,0.002853
-48.8073 ,-1.24048 ,0.002937
-47.9968 ,-1.20784 ,0.003
-47.9968 ,-1.20784 ,0.00306
-46.9671 ,-1.17687 ,0.003119
-46.4884 ,-1.14745 ,0.003177
-46.7768 ,-1.11946 ,0.003234
-46.4543 ,-1.09281 ,0.003298
